2015-12-15 05:48:00 startup archives unpack
2015-12-15 05:48:00 install libdbus-glib-1-2:armhf <none> 0.102-1
2015-12-15 05:48:00 status half-installed libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:00 status unpacked libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:00 status unpacked libdbus-glib-1-2:armhf 0.102-1
2015-12-15 05:48:00 install libnfnetlink0:armhf <none> 1.0.1-3
2015-12-15 05:48:00 status half-installed libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:00 status unpacked libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:00 status unpacked libnfnetlink0:armhf 1.0.1-3
2015-12-15 05:48:00 install libpolkit-gobject-1-0:armhf <none> 0.105-8ubuntu2
2015-12-15 05:48:00 status half-installed libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-gobject-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 install libdconf1:armhf <none> 0.22.0-1
2015-12-15 05:48:00 status half-installed libdconf1:armhf 0.22.0-1
2015-12-15 05:48:00 status unpacked libdconf1:armhf 0.22.0-1
2015-12-15 05:48:00 status unpacked libdconf1:armhf 0.22.0-1
2015-12-15 05:48:00 install libgudev-1.0-0:armhf <none> 1:219-7ubuntu3
2015-12-15 05:48:00 status half-installed libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:00 status unpacked libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:00 status unpacked libgudev-1.0-0:armhf 1:219-7ubuntu3
2015-12-15 05:48:00 install libmm-glib0:armhf <none> 1.4.0-1
2015-12-15 05:48:00 status half-installed libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:00 status unpacked libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:00 status unpacked libmm-glib0:armhf 1.4.0-1
2015-12-15 05:48:00 install libndp0:armhf <none> 1.4-2
2015-12-15 05:48:00 status half-installed libndp0:armhf 1.4-2
2015-12-15 05:48:00 status unpacked libndp0:armhf 1.4-2
2015-12-15 05:48:00 status unpacked libndp0:armhf 1.4-2
2015-12-15 05:48:00 install libnl-route-3-200:armhf <none> 3.2.24-2
2015-12-15 05:48:00 status half-installed libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:00 status unpacked libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:00 status unpacked libnl-route-3-200:armhf 3.2.24-2
2015-12-15 05:48:00 install libnm-util2:armhf <none> 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status half-installed libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status unpacked libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status unpacked libnm-util2:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 install libnm-glib4:armhf <none> 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status half-installed libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status unpacked libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 status unpacked libnm-glib4:armhf 0.9.10.0-4ubuntu15
2015-12-15 05:48:00 install libpolkit-agent-1-0:armhf <none> 0.105-8ubuntu2
2015-12-15 05:48:00 status half-installed libpolkit-agent-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-agent-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-agent-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 install libpolkit-backend-1-0:armhf <none> 0.105-8ubuntu2
2015-12-15 05:48:00 status half-installed libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 status unpacked libpolkit-backend-1-0:armhf 0.105-8ubuntu2
2015-12-15 05:48:00 install libproxy1:armhf <none> 0.4.11-4ubuntu2
2015-12-15 05:48:00 status half-installed libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:00 status unpacked libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:00 status unpacked libproxy1:armhf 0.4.11-4ubuntu2
2015-12-15 05:48:00 install glib-networking-common:all <none> 2.44.0-1
2015-12-15 05:48:00 status half-installed glib-networking-common:all 2.44.0-1
2015-12-15 05:48:00 status unpacked glib-networking-common:all 2.44.0-1
2015-12-15 05:48:00 status unpacked glib-networking-common:all 2.44.0-1
2015-12-15 05:48:01 install glib-networking-services:armhf <none> 2.44.0-1
2015-12-15 05:48:01 status half-installed glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking-services:armhf 2.44.0-1
2015-12-15 05:48:01 install dconf-service:armhf <none> 0.22.0-1
2015-12-15 05:48:01 status half-installed dconf-service:armhf 0.22.0-1
2015-12-15 05:48:01 status unpacked dconf-service:armhf 0.22.0-1
2015-12-15 05:48:01 status unpacked dconf-service:armhf 0.22.0-1
2015-12-15 05:48:01 install dconf-gsettings-backend:armhf <none> 0.22.0-1
2015-12-15 05:48:01 status half-installed dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:01 status triggers-pending libglib2.0-0:armhf 2.44.0-1ubuntu3
2015-12-15 05:48:01 status half-installed dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:01 status unpacked dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:01 status unpacked dconf-gsettings-backend:armhf 0.22.0-1
2015-12-15 05:48:01 install gsettings-desktop-schemas:all <none> 3.14.1-1ubuntu2
2015-12-15 05:48:01 status half-installed gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:01 status triggers-pending libglib2.0-0:armhf 2.44.0-1ubuntu3
2015-12-15 05:48:01 status half-installed gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:01 status unpacked gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:01 status unpacked gsettings-desktop-schemas:all 3.14.1-1ubuntu2
2015-12-15 05:48:01 install glib-networking:armhf <none> 2.44.0-1
2015-12-15 05:48:01 status half-installed glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status half-installed glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 status unpacked glib-networking:armhf 2.44.0-1
2015-12-15 05:48:01 install libsoup2.4-1:armhf <none> 2.49.92-1
2015-12-15 05:48:01 status half-installed libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 status unpacked libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 status unpacked libsoup2.4-1:armhf 2.49.92-1
2015-12-15 05:48:01 install libmnl0:armhf <none> 1.0.3-5
2015-12-15 05:48:01 status half-installed libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 status unpacked libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 status unpacked libmnl0:armhf 1.0.3-5
2015-12-15 05:48:01 install libnetfilter-conntrack3:armhf <none> 1.0.4-1
2015-12-15 05:48:01 status half-installed libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 status unpacked libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 status unpacked libnetfilter-conntrack3:armhf 1.0.4-1
2015-12-15 05:48:01 install dnsmasq-base:armhf <none> 2.72-3
2015-12-15 05:48:01 status half-installed dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 status triggers-pending dbus:armhf 1.8.12-1ubuntu5
2015-12-15 05:48:01 status half-installed dnsmasq-base:armhf 2.72-3
2015-12-15 05:48:01 status unpacked dnsmasq-base:armhf 2.72-3
